$`subj 1200`
$`subj 1200`$power
 [1] 0.316 1.000 1.000 0.741 0.266 0.067 0.086 0.879 1.000 0.053 0.576

$`subj 1200`$p
                [,1]         [,2] [,3]         [,4]         [,5]         [,6]         [,7]         [,8]
   [1,] 4.700826e-01 2.567919e-08    0 2.051922e-04 6.575796e-01 0.1120499326 0.3807854640 9.360593e-04
   [2,] 4.425094e-02 1.227907e-13    0 1.154678e-03 3.079405e-01 0.3644053212 0.0548264297 1.175479e-06
   [3,] 1.193348e-01 0.000000e+00    0 8.450547e-04 1.737413e-01 0.9188118091 0.7644648824 1.936202e-04
   [4,] 6.718087e-02 2.813087e-07    0 1.911718e-03 2.016050e-01 0.6325058987 0.9295886147 2.345167e-03
   [5,] 7.529045e-01 2.243265e-06    0 6.522572e-03 1.081559e-01 0.6571154092 0.2682337887 6.419825e-03
   [6,] 7.396530e-03 1.572076e-12    0 6.534869e-02 1.921973e-05 0.7990721347 0.8195164295 2.817895e-04
   [7,] 4.885004e-01 5.667077e-07    0 2.200910e-03 5.267487e-01 0.0752107943 0.7721978923 1.566122e-04
   [8,] 7.560656e-01 1.192175e-04    0 3.814316e-03 6.423668e-03 0.9150546084 0.6484180379 8.556023e-03
   [9,] 1.866855e-03 2.442491e-15    0 4.033245e-02 8.473724e-03 0.0843077069 0.9691271920 1.242742e-02
  [10,] 4.247222e-01 2.004309e-08    0 1.283701e-05 8.246408e-01 0.0007894528 0.2597201516 5.999507e-07
  [11,] 5.355655e-01 2.096209e-09    0 5.823650e-03 1.650348e-01 0.4999036589 0.1814167951 1.825552e-04
  [12,] 2.032199e-01 7.620934e-08    0 2.514998e-05 4.525659e-01 0.0169780862 0.0271505833 1.565860e-05
  [13,] 9.338216e-01 4.359109e-10    0 2.687886e-01 1.538817e-01 0.6383165538 0.2557630969 1.357068e-03
  [14,] 2.196543e-01 7.903239e-09    0 1.065316e-03 8.521931e-03 0.0323814818 0.1860077879 3.930360e-05
  [15,] 5.008465e-01 3.223906e-06    0 1.499625e-02 2.154707e-01 0.9952838202 0.5284378942 1.731397e-03
  [16,] 4.149332e-01 8.993031e-06    0 5.525268e-05 4.892299e-03 0.1703456065 0.3358367449 4.835789e-06
  [17,] 3.179326e-01 3.682491e-08    0 5.990902e-01 7.406189e-02 0.0948478170 0.7063667954 9.846240e-03
  [18,] 2.584647e-01 7.286585e-10    0 4.575220e-02 1.011660e-01 0.6822038374 0.5723843642 1.734433e-03
  [19,] 4.456028e-02 1.028733e-12    0 1.280488e-02 6.011578e-02 0.7739616818 0.7733387836 3.379910e-02
  [20,] 9.696609e-02 2.475318e-07    0 3.108391e-02 6.185871e-03 0.7978061987 0.4018910866 1.323008e-02
