workerid,trial,story,condition,rt,world,activity,Qtype,rating,experiment,eligible
2402,6,14_clothes,after,33186,wonky,non-habitual,interaction,51.96,exclamation,True
2403,1,8_work,after,4389,wonky,non-habitual,habitual,44.75,ohyeah,True
2403,2,19_exhibit,after,4781,ordinary,habitual,habitual,49.8,ohyeah,True
2403,3,3_feed_dog,after,4550,wonky,habitual,habitual,69.83,ohyeah,True
2403,4,1_grocery,before,8120,wonky,,habitual,93.77,ohyeah,True
2403,5,21_pizza,before,4479,ordinary,,habitual,82.7,ohyeah,True
2403,6,16_baking,after,4254,ordinary,non-habitual,habitual,79.6,ohyeah,True
2403,1,8_work,after,4389,wonky,non-habitual,non-habitual,63.8,ohyeah,True
2403,2,19_exhibit,after,4781,ordinary,habitual,non-habitual,44.26,ohyeah,True
2403,3,3_feed_dog,after,4550,wonky,habitual,non-habitual,45.07,ohyeah,True
2403,4,1_grocery,before,8120,wonky,,non-habitual,54.36,ohyeah,True
2403,5,21_pizza,before,4479,ordinary,,non-habitual,78.95,ohyeah,True
2403,6,16_baking,after,4254,ordinary,non-habitual,non-habitual,70.97,ohyeah,True
2403,1,8_work,after,4389,wonky,non-habitual,script,53.87,ohyeah,True
2403,2,19_exhibit,after,4781,ordinary,habitual,script,69.5,ohyeah,True
2403,3,3_feed_dog,after,4550,wonky,habitual,script,45.89,ohyeah,True
2403,4,1_grocery,before,8120,wonky,,script,59.08,ohyeah,True
2403,5,21_pizza,before,4479,ordinary,,script,60.06,ohyeah,True
2403,6,16_baking,after,4254,ordinary,non-habitual,script,34.98,ohyeah,True
2403,1,8_work,after,4389,wonky,non-habitual,interaction,64.94,ohyeah,True
2403,2,19_exhibit,after,4781,ordinary,habitual,interaction,48.33,ohyeah,True
2403,3,3_feed_dog,after,4550,wonky,habitual,interaction,65.76,ohyeah,True
2403,4,1_grocery,before,8120,wonky,,interaction,71.78,ohyeah,True
2403,5,21_pizza,before,4479,ordinary,,interaction,70.48,ohyeah,True
2403,6,16_baking,after,4254,ordinary,non-habitual,interaction,62.01,ohyeah,True
2404,1,13_bus,before,13827,wonky,,habitual,58.06,exclamation,True
2404,2,6_swimming,after,15167,ordinary,non-habitual,habitual,36.23,exclamation,True
2404,3,7_train,before,42546,ordinary,,habitual,44.48,exclamation,True
2404,4,22_dishes,after,9426,wonky,habitual,habitual,42.1,exclamation,True
2404,5,10_shampoo,after,15672,ordinary,habitual,habitual,38.22,exclamation,True
2404,6,11_skydiving,after,69080,wonky,non-habitual,habitual,45.51,exclamation,True
2404,1,13_bus,before,13827,wonky,,non-habitual,26.62,exclamation,True
2404,2,6_swimming,after,15167,ordinary,non-habitual,non-habitual,41.75,exclamation,True
2404,3,7_train,before,42546,ordinary,,non-habitual,44.25,exclamation,True
2404,4,22_dishes,after,9426,wonky,habitual,non-habitual,47.51,exclamation,True
2404,5,10_shampoo,after,15672,ordinary,habitual,non-habitual,38.22,exclamation,True
2404,6,11_skydiving,after,69080,wonky,non-habitual,non-habitual,58.55,exclamation,True
